asset_name	original_path	asset_bytes	asset_sha256	original_sha256	mode
model.safetensors.part-aa	model.safetensors	1992294400	e81812b93263f831175eb17cd322da6be9c013a32f3695284049e9532286a905	dc0290f93034998e39dd7d1be19ba4c60474faca503982422cb1b05ff78e1f84	split
model.safetensors.part-ab	model.safetensors	1771392848	3d6871511fa982c317abe687dbbfe431f192120215ad5acef8f6afbfae842e48	dc0290f93034998e39dd7d1be19ba4c60474faca503982422cb1b05ff78e1f84	split
